scenario_id,component_id,artifact_id,agent_stage,candidate_eu_cn_code,authority_status,provenance_status,capture_status,representation_status,graph_parity_status,synthesis_status,uncertainty_status,handoff_status,failed_checks,severity,expected_route,actual_route,recommended_action
RUN_fresh_eu_run_anode-active-material-graphite,ent_tb3_02,AA_EU_anode-active-material-graphite,AA,3801.90,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_anode-substrate-cu-foil,ent_tb3_06,AA_EU_anode-substrate-cu-foil,AA,7410.21,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_battery-control-unit-(bcu),ent_169,AA_EU_battery-control-unit-(bcu),AA,8537.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_battery-disconnect-unit-(bdu),ent_171,AA_EU_battery-disconnect-unit-(bdu),AA,8536.50,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_battery-management-system-(bms),ent_217,AA_EU_battery-management-system-(bms),AA,8537.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_cathode-active-material-nmc,ent_tb3_01,AA_EU_cathode-active-material-nmc,AA,2841.90,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_cathode-substrate-al-foil,ent_tb3_05,AA_EU_cathode-substrate-al-foil,AA,7607.19,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_cell-supervisor-unit-(csu),ent_170,AA_EU_cell-supervisor-unit-(csu),AA,8537.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_combo-power-electronics-unit,ent_267,AA_EU_combo-power-electronics-unit,AA,8504.40,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_dc-dc-converter,ent_216,AA_EU_dc-dc-converter,AA,8504.40,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_electrolyte-lipf6-solution,ent_tb3_03,AA_EU_electrolyte-lipf6-solution,AA,3824.99,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_high-voltage-battery-module,ent_133,AA_EU_high-voltage-battery-module,AA,8507.60,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_high-voltage-battery-pack-assembly,ent_100,AA_EU_high-voltage-battery-pack-assembly,AA,8507.60,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_high-voltage-connectors,ent_182,AA_EU_high-voltage-connectors,AA,8536.69,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_high-voltage-contactor,ent_144,AA_EU_high-voltage-contactor,AA,8536.50,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_hyper-integrated-e-axle,ent_269,AA_EU_hyper-integrated-e-axle,AA,8708.99,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_integrated-e-axle,ent_187,AA_EU_integrated-e-axle,AA,8708.99,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_lithium-ion-battery-cell,ent_147,AA_EU_lithium-ion-battery-cell,AA,8507.60,pass,pass,pass,pass,pass,review,review,review,gri_3b_requires_adjudication_review,review_trigger,review,review,route_to_human_review
RUN_fresh_eu_run_ndfeb-permanent-magnets,ent_207,AA_EU_ndfeb-permanent-magnets,AA,8505.11,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_on-board-charger-(obc),ent_215,AA_EU_on-board-charger-(obc),AA,8504.40,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_power-distribution-unit-(pdu),ent_219,AA_EU_power-distribution-unit-(pdu),AA,8537.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_separator-pe-pp-film,ent_tb3_04,AA_EU_separator-pe-pp-film,AA,3920.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_silicon-alloyed-electrical-steel-core-noes,ent_tb3_07,AA_EU_silicon-alloyed-electrical-steel-core-noes,AA,7226.19,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_silicon-carbide-(sic)-mosfets,ent_209,AA_EU_silicon-carbide-(sic)-mosfets,AA,8541.29,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_silicon-igbts,ent_210,AA_EU_silicon-igbts,AA,8541.29,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_traction-inverter-module,ent_196,AA_EU_traction-inverter-module,AA,8504.40,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_traction-motor,ent_221,AA_EU_traction-motor,AA,8501.53,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
RUN_fresh_eu_run_vehicle-control-unit-(vcu),ent_218,AA_EU_vehicle-control-unit-(vcu),AA,8537.10,pass,pass,pass,pass,pass,pass,pass,pass,,pass,promote,promote,promote
