metric_id,baseline_score,baseline_status,baseline_numerator,baseline_denominator,fault_injection_score,fault_injection_status,fault_injection_numerator,fault_injection_denominator,integrated_score,integrated_status,integrated_numerator,integrated_denominator
authority_boundary_compliance,1.0,pass,168,168,0.8333,review_trigger,10,12,0.9889,warning,178,180
material_legal_capture,1.0,pass,158,158,0.9434,review_trigger,50,53,0.9858,warning,208,211
provenance_sufficiency,1.0,pass,28,28,0.8,review_trigger,8,10,0.9474,review_trigger,36,38
primary_authority_sufficiency,1.0,pass,28,28,0.9,review_trigger,9,10,0.9737,warning,37,38
critical_omission_rate,1.0,pass,0,34,0.9091,review_trigger,1,11,0.9778,warning,1,45
unsupported_synthesis_rate,1.0,pass,0,56,0.9091,review_trigger,2,22,0.9744,warning,2,78
false_certainty_rate,1.0,pass,0,6,0.0,blocker,1,1,0.8571,review_trigger,1,7
conflict_preservation,1.0,pass,6,6,0.0,blocker,0,1,0.8571,review_trigger,6,7
evidence_gap_detection,,not_applicable,0,0,0.0,blocker,0,1,0.0,blocker,0,1
handoff_safety,1.0,pass,6,6,0.0,blocker,0,2,0.75,blocker,6,8
human_review_trigger_correctness,1.0,pass,6,6,0.0,blocker,0,2,0.75,blocker,6,8
field_completeness_rate,1.0,pass,812,812,0.96,warning,48,50,0.9977,warning,860,862
abstention_rate,1.0,pass,6,6,0.0,blocker,0,1,0.8571,review_trigger,6,7
graph_artifact_parity,1.0,pass,84,84,0.9667,warning,29,30,0.9912,warning,113,114
human_research_burden,0.7857,diagnostic,6,28,0.0,diagnostic,10,10,0.5789,diagnostic,16,38
rerun_delta_rate,,comparison_only,0,0,0.5,comparison_only,1,2,0.5,comparison_only,1,2
