scenario_id,component_id,artifact_id,agent_stage,candidate_eu_cn_code,authority_status,provenance_status,capture_status,representation_status,graph_parity_status,synthesis_status,uncertainty_status,handoff_status,failed_checks,severity,expected_route,actual_route,recommended_action,gate_id,gate_label,gate_reason_codes
SCN_fault_injection_NEG_AA_NEG_001,dc-dc-converter,NEG_AA_NEG_001,AA,8504.40,fail,fail,pass,pass,pass,fail,pass,fail,internal_source_as_authority;missing_external_authority;unsupported_promotion,blocker,blocked,blocked,block_pending_source_or_authority_repair,gate_3,blocked_pending_research,internal_source_as_authority;missing_external_authority;unsupported_promotion
SCN_fault_injection_NEG_AA_NEG_002,on-board-charger-(obc),NEG_AA_NEG_002,AA,8504.40,pass,fail,review,pass,pass,pass,pass,fail,missing_source_anchor;source_anchor_not_resolved;quote_anchor_unresolved;required_source_anchor_not_captured,blocker,blocked,blocked,block_pending_source_or_authority_repair,gate_3,blocked_pending_research,missing_source_anchor;source_anchor_not_resolved
SCN_fault_injection_NEG_AA_NEG_003,high-voltage-battery-pack-assembly,NEG_AA_NEG_003,AA,8507.60,pass,pass,pass,pass,pass,pass,pass,fail,blocked_route_declared;required_authority_class_missing;secondary_only_authority_chain,blocker,blocked,blocked,block_pending_source_or_authority_repair,gate_3,blocked_pending_research,required_authority_class_missing;secondary_only_authority_chain
SCN_fault_injection_NEG_AA_NEG_004,combo-power-electronics-unit,NEG_AA_NEG_004,AA,8504.40,pass,pass,review,pass,pass,pass,pass,review,required_gri_path_element_missing;capture_gap_requires_review;critical_omission,review_trigger,blocked,review,route_to_human_review,gate_2,pass_with_notes,capture_gap_requires_review;critical_omission;required_gri_path_element_missing
SCN_fault_injection_NEG_AA_NEG_005,traction-inverter-module,NEG_AA_NEG_005,AA,8504.40,pass,pass,pass,pass,pass,fail,pass,fail,unsupported_promotion,blocker,blocked,blocked,block_pending_source_or_authority_repair,gate_3,blocked_pending_research,unsupported_promotion
SCN_fault_injection_NEG_AA_NEG_006,separator-pe-pp-film,NEG_AA_NEG_006,AA,3920.10,pass,pass,pass,review,pass,review,review,review,confidence_inflation;divergence_collapsed;representation_scope_broadened;unsupported_promotion;review_trigger_missing_route,review_trigger,blocked,review,route_to_human_review,gate_3,blocked_pending_research,unsupported_promotion
SCN_fault_injection_NEG_AA_NEG_007,silicon-alloyed-electrical-steel-core-noes,NEG_AA_NEG_007,AA,7226.19,pass,pass,pass,pass,pass,fail,review,fail,unsupported_promotion;client_fact_required;review_trigger_missing_route;evidence_gap;corpus_gap,blocker,blocked,blocked,block_pending_source_or_authority_repair,gate_3,blocked_pending_research,corpus_gap;evidence_gap;unsupported_promotion
SCN_fault_injection_NEG_AA_NEG_008,battery-management-system-(bms),NEG_AA_NEG_008,AA,8537.10,pass,pass,pass,pass,pass,pass,pass,fail,blocked_route_declared;missing_required_handoff_field,blocker,blocked,blocked,block_pending_rerun,gate_4,blocked_pending_rerun,missing_required_handoff_field
SCN_fault_injection_NEG_AA_NEG_009,on-board-charger-(obc),NEG_AA_NEG_009,AA,8504.40,pass,pass,pass,pass,fail,pass,pass,fail,edge_direction_invalid;edge_endpoint_unresolved;graph_parity_failure,blocker,blocked,blocked,block_pending_rerun,gate_4,blocked_pending_rerun,edge_direction_invalid;edge_endpoint_unresolved;graph_parity_failure
SCN_fault_injection_NEG_AA_NEG_010,high-voltage-connectors,NEG_AA_NEG_010,AA,8536.69,pass,pass,pass,pass,pass,pass,pass,review,review_route_declared;over_escalation_burden,review_trigger,blocked,review,route_to_human_review,gate_2,pass_with_notes,over_escalation_burden;review_route_declared
